AGE,GENDER,VETERAN,INCOME,NIGHTS,substanceabuse,completed,probation
20,Female,No,0,152,0,0,Yes
20,Female,No,740,229,0,1,No
21,Female,No,0,105,1,1,No
21,Female,No,0,371,1,1,No
22,Female,No,0,169,0,0,No
22,Female,No,1200,297,0,0,No
22,Female,No,0,477,1,1,Yes
22,Female,No,0,477,1,1,Yes
23,Female,No,688,120,1,0,No
23,Female,No,0,148,1,1,Yes
23,Female,No,500,524,1,0,Yes
24,Female,No,1600,120,1,1,Yes
24,Female,No,1034.32,182,1,0,Yes
25,Female,No,500,154,1,1,No
25,Male,No,674,179,0,1,Yes
25,Female,No,0,NA,0,0,Yes
25,Female,No,2108.32,275,0,1,Yes
26,Female,No,1514,192,1,0,Yes
27,Female,No,0,270,1,0,Yes
28,Female,No,1446.29,90,0,1,Yes
28,Female,No,220.18,157,1,1,No
28,Female,No,381.94,237,1,0,No
29,Female,No,645,98,0,1,No
29,Female,No,320,190,1,1,Yes
29,Female,No,300,256,0,1,Yes
30,Female,No,350,90,0,1,No
30,Female,No,150,92,0,1,No
30,Male,No,0,98,1,1,Yes
30,Female,No,0,103,0,0,No
30,Female,No,0,NA,0,1,No
30,Female,No,690,137,1,1,Yes
30,Female,No,328,401,1,1,No
31,Female,No,861.22,92,0,1,Yes
31,Female,No,1410.76,96,1,1,Yes
31,Female,No,0,103,1,0,No
32,Female,No,831,90,0,1,Yes
32,Female,No,838,90,0,1,No
32,Female,No,0,103,0,1,No
32,Female,No,0,418,1,0,Yes
33,Female,No,1012,79,1,1,No
33,Female,No,0,90,1,0,Yes
33,Female,No,0,91,0,1,No
33,Male,No,1108,92,0,1,No
33,Male,No,640,92,0,1,Yes
33,Female,No,752.42,92,0,0,Yes
33,Female,No,694,95,1,0,Yes
33,Female,No,571,95,1,1,No
34,Female,No,640,90,0,1,No
34,Female,No,868,92,0,1,No
34,Female,No,260,120,1,1,No
35,Female,No,12583.34,89,1,1,No
35,Female,No,1222,90,0,1,No
35,Female,No,830,92,1,1,No
35,Female,No,0,95,1,1,No
35,Female,No,0,143,0,0,Yes
36,Female,No,286.67,89,0,1,No
36,Male,No,687.5,111,1,1,No
37,Female,No,983.1,80,0,1,Yes
37,Female,No,0,83,0,1,No
37,Female,No,0,85,0,0,No
37,Female,No,0,90,1,1,No
38,Male,No,726.91,75,0,1,No
38,Female,No,1191.66,91,0,1,No
38,Female,No,403,132,1,0,No
38,Female,No,1071.8,133,1,0,Yes
39,Female,No,234,70,0,1,No
39,Female,No,200,72,0,1,No
39,Female,No,686.96,78,0,1,Yes
39,Female,No,853,81,0,1,No
39,Female,No,0,90,0,1,No
39,Female,No,945.36,90,1,1,No
40,Female,No,1048,63,0,1,No
40,Female,No,1181.7,67,0,1,Yes
40,Male,No,314.16,92,0,1,Yes
41,Female,No,680,78,0,1,No
42,Female,Yes,1484.8,50,0,1,No
43,Male,Yes,1001,54,0,1,No
44,Female,No,0,59,0,1,No
44,Female,No,0,90,0,0,Yes
45,Female,No,445.57,NA,0,1,No
45,Female,No,674,59,0,1,No
45,Female,No,0,63,0,1,No
46,Female,No,1297,80,0,0,No
46,Female,No,694,92,1,1,No
46,Female,No,1020.18,92,0,1,No
47,Female,No,0,44,1,1,No
47,Female,No,0,61,0,1,No
48,Female,Yes,0,41,0,1,No
48,Female,Yes,0,42,0,1,No
48,Female,No,238,63,0,1,No
49,Male,Yes,1174,39,0,1,No
49,Male,Yes,857,48,0,1,No
49,Female,No,683,63,0,1,Yes
50,Male,Yes,0,6,0,1,No
50,Female,No,1301.2,38,0,1,No
50,Female,No,0,59,0,1,No
52,Male,Yes,700,3,0,1,No
52,Female,Yes,0,6,0,1,No
54,Female,Yes,694.9,23,0,1,Yes
54,Female,No,420,33,0,1,No
55,Female,Yes,364,25,0,1,No
57,Male,Yes,0,34,0,1,No
58,Female,Yes,1373.96,24,0,1,No
58,Male,Yes,812,35,0,1,No
58,Male,Yes,698,89,0,1,No
59,Male,Yes,0,26,0,1,No
59,Male,No,906,33,1,1,No
60,Male,No,2974,25,1,1,No
61,Male,No,909,29,0,1,No
65,Male,Yes,541,19,0,1,No
67,Female,Yes,606.6,28,0,1,No
68,Male,Yes,1043,27,0,1,No
69,Female,Yes,0,1,0,1,No
70,Female,No,0,6,0,1,No
73,Female,No,931.67,19,0,1,No
75,Female,Yes,73,15,0,1,No
77,Male,Yes,0,12,0,1,No
77,Female,Yes,1331.02,25,0,1,No
79,Male,Yes,2100,11,0,1,No
79,Female,Yes,694,16,0,1,No
79,Female,Yes,0,22,0,1,No
